1.sibling          兄弟姐妹
2.Manipulating     v.熟练控制（manipulate的现在分词）；（暗中）控制；操纵；影响；正骨；治疗脱臼
3.opaque           adj.不透明的 n.不透明
4.comma            n.逗号
5.acceleration     n.加速；促进；[物]加速度
6.favor of         有利于；支持；赞同
7.specifics        n.细节；特性；详情
8.rasterizer       光栅化程序
9.linux distros    linux发行版
10.multiple        adj.多重的；多样的；许多的 n.倍数；【电】并联
11.ultimately      adv.最后；根本；基本上
12.mechanism       n.机制;原理；途径；进程；机械装置；技巧 
13.irrelevant      adj.不相干的；不切题的
14.boilerplate     n.样板文件；引用
15.sphere          n.球体；范围 vt.包围；放入球内；使...成球形
16.portion         n.部分；一份；命运 vt.分配；给..嫁妆
17.and so forth    等等..
18.vendor          n.卖主；小贩；【贸易】自动售货机
19.renderer        n.渲染器
20.benchmark       n.基准；标准检查程序 vt.用基准问题测试（计算机系统等）
21.diverse         adj.不同的；多种多样的；变化多的
22.empower         vt.授权；允许；使能够
23.intuitive       adj.直觉的；凭直觉获知的
24.sparking        n.发火花；点火 v.导致；发出火星；是大感兴趣
25.unspectacular   adj.不引人注意的；普通的
26.decipherable    adj.可判读的；可解释的
27.preface         n.前言；引语 vt.为...加序言；以...开始；vi.作序
28.forward-compatible 向前兼容的；
29.profile         n.侧面；轮廓；外形；剖面；简况
30.respectively    adv.分别地；各自地；独自地
31.overlap         n.重叠；重复
32.flickering      adj.闪烁的；忽隐忽现的；摇曳的
33.vice versa      反之亦然
34.composited      adj.复合的；混合的
35.intensity       n.强度；强烈；【电子】亮度；紧张
36.resemble        vt.类似；像
37.interpret       vt.说明；口译；vi.解释；翻译
38.issuing         n.发行物；vt.分配；流出
39.incorporate     vt.包含；vi.合并；adj.混合的
40.probe           n.探针；调查 vi.调查；探测
41.assembly        n.装配；集会；集合
42.overwhelmed     v.受打击；adj.受宠若惊的
43.macros          n.宏指令；宏命令



